"Position","Info","Title","Website","Phone","email","facebook"
1,"Data found
	
Central Madrid Escuela Aeronáutica | Curso Azafata de Vuelo TCP Madrid
	
https://madrid.centralescuelaaeronautica.com/
	
+34 635 74 35 11
	
	
	
https://www.instagram.com/_centralmadrid/","Central Madrid Escuela Aeronáutica | Curso Azafata de Vuelo TCP Madrid","https://madrid.centralescuelaaeronautica.com/","+34 635 74 35 11",,
2,"Data found
	
Nautivel Centro de Estudios Nauticos SL
	
https://www.nautivel.es/
	
+34 914 15 26 79
	
info@nautivel.com","Nautivel Centro de Estudios Nauticos SL","https://www.nautivel.es/","+34 914 15 26 79","info@nautivel.com",
3,"Data found
	
Escuela náutica. Cenáutica Madrid
	
https://www.cenautica.com/escuela-nautica/escuela-nautica-madrid?utm_source=google&utm_medium=organic&utm_campaign=gmb-madrid
	
+34 913 45 12 74
	
madrid@cenautica.com
	
https://www.facebook.com/cenautica
	
https://www.instagram.com/cenautica/
	
	
https://www.linkedin.com/company/cenautica","Escuela náutica. Cenáutica Madrid","https://www.cenautica.com/escuela-nautica/escuela-nautica-madrid?utm_source=google&utm_medium=organic&utm_campaign=gmb-madrid","+34 913 45 12 74","madrid@cenautica.com","https://www.facebook.com/cenautica"
4,"Data found
	
Estudios Náuticos Elcano | Escuela Náutica en Madrid. Cursos PER, PNB, Licencia Navegación, Prácticas de Navegación y más
	
https://www.cenelcano.com/
	
+34 914 48 50 40
	
elcano@cenelcano.com
	
https://www.facebook.com/Cenelcano
	
https://www.instagram.com/cenelcano/
	
https://twitter.com/cenelcano
	
https://es.linkedin.com/company/elcano","Estudios Náuticos Elcano | Escuela Náutica en Madrid. Cursos PER, PNB, Licencia Navegación, Prácticas de Navegación y más","https://www.cenelcano.com/","+34 914 48 50 40","elcano@cenelcano.com","https://www.facebook.com/Cenelcano"
5,"Data found
	
Escuela Náutica Madrid Acronáutica
	
https://www.acronautica.com/escuela-nautica/escuela-nautica-madrid/
	
+34 622 83 21 98
	
info@acronautica.com
	
https://www.facebook.com/Academiacronautica/
	
https://www.instagram.com/acronautica/
	
https://twitter.com/acronautica
	
https://www.linkedin.com/legal/cookie-policy","Escuela Náutica Madrid Acronáutica","https://www.acronautica.com/escuela-nautica/escuela-nautica-madrid/","+34 622 83 21 98","info@acronautica.com","https://www.facebook.com/Academiacronautica/"
6,"Data found
	
A Son de Mar Escuela Náutica
	
http://asondemar.net/
	
+34 622 09 80 99
	
practicas@asondemar.net","A Son de Mar Escuela Náutica","http://asondemar.net/","+34 622 09 80 99","practicas@asondemar.net",
7,"Data found
	
Escuela Náutica | Greenwich Náutica
	
https://greenwichnautica.es/?utm_source=gmb&utm_medium=organic&utm_campaign=google-my-business
	
+34 914 56 02 73
	
cursos@greenwichnautica.es
	
https://www.facebook.com/greenwichnautica/
	
https://www.instagram.com/greenwichnautica/
	
https://twitter.com/greenwichcen","Escuela Náutica | Greenwich Náutica","https://greenwichnautica.es/?utm_source=gmb&utm_medium=organic&utm_campaign=google-my-business","+34 914 56 02 73","cursos@greenwichnautica.es","https://www.facebook.com/greenwichnautica/"
8,"Data found
	
Nautimar Centro de Enseñanzas Nauticas
	
http://www.nautimar.es/
	
+34 915 48 21 10
	
nautimar@nautimar.es
	
https://www.facebook.com/nautimarescuelanautica
	
https://www.instagram.com/nautimar_escuela_nautica/","Nautimar Centro de Enseñanzas Nauticas","http://www.nautimar.es/","+34 915 48 21 10","nautimar@nautimar.es","https://www.facebook.com/nautimarescuelanautica"
9,"Data found
	
Escuela Náutica Altamar
	
http://www.escuela-altamar.com/
	
+34 609 47 60 25
	
info@escuela-altamar.com
	
https://www.facebook.com/altamarescuelanautica/
	
https://www.instagram.com/altamar_nautica/","Escuela Náutica Altamar","http://www.escuela-altamar.com/","+34 609 47 60 25","info@escuela-altamar.com","https://www.facebook.com/altamarescuelanautica/"
10,"Data found
	
Avante Escuela Náutica Madrid
	
https://www.avantecursos.com/escuela-nautica-avante/escuela-nautica-en-madrid/
	
+34 913 44 07 29
	
info@avantecursos.com
	
https://www.facebook.com/cursospracticasnavegacion/
	
https://www.instagram.com/avantecentrodevela/
	
https://twitter.com/AvanteVela","Avante Escuela Náutica Madrid","https://www.avantecursos.com/escuela-nautica-avante/escuela-nautica-en-madrid/","+34 913 44 07 29","info@avantecursos.com","https://www.facebook.com/cursospracticasnavegacion/"
11,"Data found
	
Escuela Náutica Alisios Madrid
	
http://www.escuelanauticaalisios.com/
	
+34 676 05 08 79
	
info@escuelanauticaalisios.com
	
https://www.facebook.com/escuelanauticaalisios/
	
https://www.instagram.com/escuelanauticaalisios/","Escuela Náutica Alisios Madrid","http://www.escuelanauticaalisios.com/","+34 676 05 08 79","info@escuelanauticaalisios.com","https://www.facebook.com/escuelanauticaalisios/"
12,"No data found
	
Escuela Náutica Luis Moreno
	
http://escuelanauticaluismoreno.com/
	
+34 914 01 40 20","Escuela Náutica Luis Moreno","http://escuelanauticaluismoreno.com/","+34 914 01 40 20",,
13,"Data found
	
Club de Patrones de Cenáutica
	
https://www.cenautica.com/club-de-patrones
	
+34 689 97 07 54
	
info@cenautica.com
	
https://www.facebook.com/cenautica
	
https://www.instagram.com/cenautica/
	
	
https://www.linkedin.com/company/cenautica","Club de Patrones de Cenáutica","https://www.cenautica.com/club-de-patrones","+34 689 97 07 54","info@cenautica.com","https://www.facebook.com/cenautica"
14,"Data found
	
Escuela Nautica Baluma
	
http://escuelanauticabaluma.com/
	
+34 625 61 81 83
	
50365a6fe24f4ff28f6b625410e04a35@sentry.io","Escuela Nautica Baluma","http://escuelanauticabaluma.com/","+34 625 61 81 83","50365a6fe24f4ff28f6b625410e04a35@sentry.io",
15,"Data found
	
Escuela Náutica Barcelona Pronautic Training Centre
	
https://pronautictc.com/?utm_source=google&utm_medium=maps&utm_campaign=seolocal&utm_content=barcelona
	
+34 931 03 04 06
	
info@pronautictc.com
	
https://www.facebook.com/PronauticTC/?locale=es_ES
	
https://www.instagram.com/pronautictc/?hl=es","Escuela Náutica Barcelona Pronautic Training Centre","https://pronautictc.com/?utm_source=google&utm_medium=maps&utm_campaign=seolocal&utm_content=barcelona","+34 931 03 04 06","info@pronautictc.com","https://www.facebook.com/PronauticTC/?locale=es_ES"
16,"Data found
	
Escola Port
	
http://www.escolaport.com/
	
+34 932 21 03 80
	
info@escolaport.com
	
	
https://www.instagram.com/escolaportbarcelona/","Escola Port","http://www.escolaport.com/","+34 932 21 03 80","info@escolaport.com",
